iter	Passed	Remaining
574	44963	33234
575	45032	33148
576	45122	33079
577	45190	32993
578	45276	32921
579	45363	32849
580	45445	32773
581	45507	32683
582	45587	32607
583	45657	32522
584	45727	32439
585	45805	32360
586	45887	32285
587	45954	32199
588	46031	32120
589	46099	32035
590	46180	31959
591	46265	31885
592	46337	31803
593	46414	31724
594	46491	31645
595	46574	31570
596	46647	31489
597	46713	31403
598	46799	31329
599	46864	31242
600	46950	31170
601	47026	31090
602	47111	31016
603	47183	30934
604	47257	30853
605	47333	30774
606	47405	30692
607	47484	30614
608	47568	30540
609	47639	30458
610	47717	30380
611	47785	30295
612	47880	30228
613	47966	30155
614	48073	30094
615	48149	30015
616	48216	29930
617	48314	29864
618	48392	29786
619	48465	29704
620	48542	29625
621	48625	29550
622	48710	29476
623	48794	29401
624	48864	29318
625	48940	29239
626	49012	29157
627	49083	29074
628	49162	28997
629	49230	28912
630	49304	28832
631	49379	28752
632	49458	28675
633	49541	28599
634	49611	28516
635	49686	28437
636	49750	28350
637	49821	28268
638	49895	28188
639	49980	28114
640	50054	28033
641	50131	27955
642	50230	27888
643	50304	27808
644	50370	27723
645	50444	27642
646	50539	27574
647	50627	27501
648	50704	27422
649	50776	27341
650	50850	27261
651	50949	27194
652	51034	27119
653	51115	27042
654	51187	26961
655	51275	26888
656	51349	26807
657	51434	26733
658	51500	26648
659	51584	26573
660	51653	26490
661	51737	26415
662	51808	26334
663	51895	26260
664	51959	26175
665	52040	26098
666	52112	26017
667	52187	25937
668	52259	25856
669	52339	25779
670	52420	25702
671	52496	25623
672	52570	25542
673	52648	25464
674	52729	25388
675	52805	25309
676	52882	25230
677	52965	25154
678	53067	25087
679	53138	25006
680	53218	24929
681	53293	24849
682	53371	24771
683	53445	24691
684	53513	24608
685	53595	24531
686	53677	24455
687	53752	24376
688	53830	24297
689	53908	24219
690	53985	24141
691	54068	24065
692	54136	23982
693	54211	23903
694	54298	23828
695	54368	23747
696	54442	23667
697	54514	23586
698	54591	23507
699	54665	23428
700	54730	23344
701	54802	23263
702	54889	23189
703	54967	23111
704	55032	23027
705	55098	22944
706	55184	22869
707	55267	22793
708	55341	22714
709	55411	22632
710	55486	22553
711	55583	22483
712	55658	22403
713	55724	22321
714	55798	22241
715	55876	22163
716	55955	22085
717	56034	22007
718	56118	21932
719	56186	21850
720	56254	21768
721	56325	21687
722	56409	21612
723	56494	21536
724	56569	21457
725	56657	21383
726	56714	21297
727	56781	21215
728	56859	21137
729	56927	21055
730	57022	20983
731	57099	20905
732	57160	20821
733	57239	20743
734	57309	20662
735	57386	20584
736	57467	20507
737	57541	20427
738	57603	20344
739	57674	20263
740	57748	20184
741	57823	20105
742	57910	20031
743	57992	19954
744	58079	19879
745	58156	19801
746	58232	19722
747	58311	19645
748	58378	19563
749	58456	19485
750	58540	19409
751	58621	19332
752	58694	19252
753	58765	19172
754	58848	19096
755	58940	19023
756	59013	18943
757	59091	18865
758	59180	18791
759	59259	18713
760	59328	18632
761	59411	18556
762	59487	18477
763	59563	18399
764	59644	18322
765	59725	18245
766	59806	18168
767	59888	18091
768	59967	18013
769	60041	17934
770	60117	17855
771	60199	17779
772	60272	17699
773	60350	17621
774	60422	17542
775	60497	17463
776	60577	17385
777	60649	17306
778	60721	17226
779	60798	17148
780	60885	17072
781	60955	16992
782	61040	16916
783	61108	16835
784	61171	16754
785	61237	16672
786	61319	16596
787	61401	16519
788	61475	16440
789	61549	16361
790	61617	16280
791	61692	16201
792	61756	16120
793	61833	16042
794	61906	15963
795	61983	15885
796	62048	15803
797	62111	15722
798	62189	15644
799	62254	15563
800	62339	15487
801	62415	15409
802	62487	15329
803	62567	15252
804	62650	15176
805	62742	15101
806	62819	15023
807	62907	14948
808	62986	14870
809	63064	14792
810	63128	14711
811	63196	14631
812	63274	14553
813	63365	14479
814	63433	14399
815	63526	14324
816	63606	14247
817	63676	14167
818	63753	14089
819	63823	14010
820	63904	13932
821	63978	13854
822	64058	13776
823	64149	13701
824	64225	13623
825	64304	13545
826	64399	13471
827	64470	13392
828	64545	13314
829	64616	13234
830	64714	13160
831	64789	13082
832	64862	13003
833	64934	12924
834	65014	12847
835	65084	12767
836	65157	12689
837	65240	12612
838	65319	12534
839	65387	12454
840	65467	12377
841	65562	12302
842	65626	12222
843	65728	12148
844	65804	12070
845	65883	11992
846	65957	11914
847	66029	11835
848	66111	11758
849	66195	11681
850	66274	11603
851	66356	11526
852	66429	11447
853	66513	11371
854	66576	11290
855	66650	11212
856	66733	11135
857	66798	11055
858	66876	10977
859	66961	10900
860	67036	10822
861	67106	10743
862	67188	10666
863	67253	10586
864	67339	10509
865	67418	10431
866	67511	10356
867	67583	10277
868	67655	10198
869	67728	10120
870	67803	10042
871	67892	9965
872	67975	9888
873	68057	9811
874	68140	9734
875	68208	9655
876	68297	9578
877	68370	9500
878	68456	9423
879	68527	9344
880	68609	9267
881	68686	9189
882	68769	9112
883	68868	9036
884	68936	8957
885	69015	8880
886	69102	8803
887	69173	8724
888	69249	8646
889	69323	8568
890	69398	8489
891	69465	8410
892	69549	8333
893	69621	8254
894	69705	8177
895	69776	8099
896	69846	8020
897	69928	7942
898	70008	7865
899	70089	7787
900	70175	7710
901	70237	7631
902	70322	7553
903	70388	7474
904	70475	7397
905	70553	7320
906	70632	7242
907	70713	7164
908	70782	7086
909	70867	7008
910	70939	6930
911	71022	6853
912	71098	6774
913	71180	6697
914	71254	6619
915	71322	6540
916	71398	6462
917	71488	6385
918	71558	6307
919	71645	6230
920	71727	6152
921	71814	6075
922	71880	5996
923	71951	5918
924	72043	5841
925	72124	5763
926	72192	5685
927	72258	5606
928	72363	5530
929	72446	5452
930	72542	5376
931	72631	5299
932	72703	5220
933	72790	5143
934	72875	5066
935	72948	4987
936	73028	4910
937	73108	4832
938	73188	4754
939	73272	4676
940	73358	4599
941	73443	4521
942	73517	4443
943	73611	4366
944	73688	4288
945	73762	4210
946	73843	4132
947	73931	4055
948	74007	3977
949	74099	3899
950	74176	3821
951	74252	3743
952	74333	3665
953	74423	3588
954	74507	3510
955	74587	3432
956	74667	3354
957	74743	3276
958	74811	3198
959	74894	3120
960	74960	3042
961	75042	2964
962	75119	2886
963	75198	2808
964	75266	2729
965	75334	2651
966	75406	2573
967	75473	2494
968	75552	2417
969	75618	2338
970	75704	2260
971	75780	2182
972	75855	2104
973	75927	2026
974	76003	1948
975	76078	1870
976	76169	1793
977	76263	1715
978	76332	1637
979	76405	1559
980	76478	1481
981	76559	1403
982	76652	1325
983	76725	1247
984	76802	1169
985	76896	1091
986	76990	1014
987	77072	936
988	77144	858
989	77220	780
990	77301	702
991	77375	623
992	77456	546
993	77527	467
994	77605	389
995	77690	312
996	77783	234
997	77872	156
998	77954	78
999	78040	0
